date,areaname,count
w/c 2020-05-04,North Lanarkshire,15
w/c 2020-05-04,East Dunbartonshire,22
w/c 2020-05-04,Fife,19
w/c 2020-05-04,Shetland Islands,0
w/c 2020-05-04,Scottish Borders,3
w/c 2020-05-04,South Ayrshire,9
w/c 2020-05-04,North Ayrshire,7
w/c 2020-05-04,Orkney Islands,0
w/c 2020-05-04,Aberdeenshire,11
w/c 2020-05-04,Aberdeen City,15
w/c 2020-05-04,Argyll and Bute,3
w/c 2020-05-04,South Lanarkshire,36
w/c 2020-05-04,Stirling,5
w/c 2020-05-11,North Ayrshire,8
w/c 2020-05-11,Orkney Islands,0
w/c 2020-05-11,Midlothian,9
w/c 2020-05-11,Moray,3
w/c 2020-05-11,Shetland Islands,0
w/c 2020-05-11,South Ayrshire,9
w/c 2020-05-11,South Lanarkshire,26
w/c 2020-05-11,Scottish Borders,6
w/c 2020-05-11,East Lothian,3
w/c 2020-05-11,East Renfrewshire,11
w/c 2020-05-11,Dumfries and Galloway,1
w/c 2020-05-11,East Ayrshire,4
w/c 2020-05-11,Highland,5
w/c 2020-05-11,Inverclyde,3
w/c 2020-05-11,Na h-Eileanan Siar,0
w/c 2020-05-11,Falkirk,9
w/c 2020-05-11,Dundee City,12
w/c 2020-05-11,East Dunbartonshire,16
w/c 2020-05-11,West Lothian,3
w/c 2020-05-11,Angus,5
w/c 2020-05-11,Glasgow City,59
w/c 2020-05-11,North Lanarkshire,20
w/c 2020-05-11,Fife,15
w/c 2020-05-11,Perth and Kinross,8
w/c 2020-05-11,Aberdeenshire,8
w/c 2020-05-11,Argyll and Bute,1
w/c 2020-05-11,Stirling,2
w/c 2020-05-11,Aberdeen City,16
w/c 2020-05-11,Renfrewshire,17
w/c 2020-05-11,West Dunbartonshire,12
w/c 2020-05-11,City of Edinburgh,39
w/c 2020-05-11,Clackmannanshire,6
w/c 2020-05-18,South Ayrshire,6
w/c 2020-05-18,South Lanarkshire,22
w/c 2020-05-18,Shetland Islands,0
w/c 2020-05-18,Dundee City,13
w/c 2020-05-18,Renfrewshire,13
w/c 2020-05-18,North Lanarkshire,8
w/c 2020-05-18,Midlothian,7
w/c 2020-05-18,Moray,1
w/c 2020-05-18,Inverclyde,3
w/c 2020-05-18,Orkney Islands,0
w/c 2020-05-18,Scottish Borders,4
w/c 2020-05-18,North Ayrshire,12
w/c 2020-05-18,Aberdeenshire,3
w/c 2020-05-18,Perth and Kinross,3
w/c 2020-05-18,West Dunbartonshire,4
w/c 2020-05-18,Glasgow City,32
w/c 2020-05-18,Fife,4
w/c 2020-05-18,Stirling,2
w/c 2020-05-18,Aberdeen City,13
w/c 2020-05-18,City of Edinburgh,26
w/c 2020-05-18,Angus,3
w/c 2020-05-18,Argyll and Bute,2
w/c 2020-05-18,East Dunbartonshire,18
w/c 2020-05-18,West Lothian,9
w/c 2020-05-18,East Lothian,2
w/c 2020-05-18,East Renfrewshire,5
w/c 2020-05-18,East Ayrshire,3
w/c 2020-05-18,Falkirk,8
w/c 2020-05-18,Highland,2
w/c 2020-05-18,Na h-Eileanan Siar,0
w/c 2020-05-18,Dumfries and Galloway,0
w/c 2020-05-18,Clackmannanshire,2
w/c 2020-05-25,North Ayrshire,6
w/c 2020-05-25,Orkney Islands,0
w/c 2020-05-25,Dundee City,8
w/c 2020-05-25,Moray,5
w/c 2020-05-25,Midlothian,4
w/c 2020-05-25,Scottish Borders,4
w/c 2020-05-25,Shetland Islands,0
w/c 2020-05-25,Glasgow City,13
w/c 2020-05-25,Angus,4
w/c 2020-05-25,Dumfries and Galloway,0
w/c 2020-05-25,East Renfrewshire,1
w/c 2020-05-25,Na h-Eileanan Siar,0
w/c 2020-05-25,East Dunbartonshire,6
w/c 2020-05-25,East Ayrshire,2
w/c 2020-05-25,East Lothian,1
w/c 2020-05-25,Fife,8
w/c 2020-05-25,Inverclyde,1
w/c 2020-05-25,Perth and Kinross,1
w/c 2020-05-25,Falkirk,3
w/c 2020-05-25,Clackmannanshire,0
w/c 2020-05-25,Highland,1
w/c 2020-05-25,Stirling,0
w/c 2020-05-25,City of Edinburgh,13
w/c 2020-05-25,West Dunbartonshire,5
w/c 2020-05-25,North Lanarkshire,14
w/c 2020-05-25,Aberdeenshire,1
w/c 2020-05-25,Argyll and Bute,3
w/c 2020-05-25,Aberdeen City,3
w/c 2020-05-25,South Lanarkshire,8
w/c 2020-05-25,Renfrewshire,4
w/c 2020-05-25,South Ayrshire,6
w/c 2020-05-25,West Lothian,6
w/c 2020-06-01,East Lothian,1
w/c 2020-06-01,East Dunbartonshire,6
w/c 2020-06-01,Falkirk,3
w/c 2020-06-01,West Dunbartonshire,1
w/c 2020-06-01,City of Edinburgh,8
w/c 2020-06-01,Na h-Eileanan Siar,0
w/c 2020-06-01,East Renfrewshire,3
w/c 2020-06-01,Argyll and Bute,0
w/c 2020-06-01,Renfrewshire,4
w/c 2020-06-01,Orkney Islands,0
w/c 2020-06-01,South Lanarkshire,13
w/c 2020-06-01,North Ayrshire,3
w/c 2020-06-01,Angus,6
w/c 2020-06-01,Scottish Borders,6
w/c 2020-06-01,Shetland Islands,0
w/c 2020-06-01,West Lothian,4
w/c 2020-06-01,South Ayrshire,1
w/c 2020-06-01,Aberdeenshire,0
w/c 2020-06-01,Inverclyde,2
w/c 2020-06-01,Highland,2
w/c 2020-06-01,Dundee City,3
w/c 2020-06-01,Stirling,1
w/c 2020-06-01,Moray,0
w/c 2020-06-01,Aberdeen City,5
w/c 2020-06-01,Midlothian,2
w/c 2020-06-01,Perth and Kinross,0
w/c 2020-06-01,North Lanarkshire,5
w/c 2020-06-01,Glasgow City,5
w/c 2020-06-01,Fife,3
w/c 2020-06-01,Clackmannanshire,0
w/c 2020-06-01,East Ayrshire,2
w/c 2020-06-01,Dumfries and Galloway,0
w/c 2020-06-08,West Lothian,3
w/c 2020-06-08,Glasgow City,10
w/c 2020-06-08,Aberdeenshire,0
w/c 2020-06-08,City of Edinburgh,6
w/c 2020-06-08,South Ayrshire,2
w/c 2020-06-08,Renfrewshire,3
w/c 2020-06-08,North Lanarkshire,3
w/c 2020-06-08,Shetland Islands,0
w/c 2020-06-08,Stirling,1
w/c 2020-06-08,Argyll and Bute,0
w/c 2020-06-08,South Lanarkshire,5
w/c 2020-06-08,West Dunbartonshire,1
w/c 2020-06-08,Aberdeen City,5
w/c 2020-06-08,Falkirk,3
w/c 2020-06-08,Dundee City,4
w/c 2020-06-08,Fife,3
w/c 2020-06-08,Inverclyde,0
w/c 2020-06-08,Highland,0
w/c 2020-06-08,East Lothian,2
w/c 2020-06-08,Dumfries and Galloway,0
w/c 2020-06-08,East Dunbartonshire,2
w/c 2020-06-08,East Ayrshire,3
w/c 2020-06-08,Clackmannanshire,2
w/c 2020-06-08,Na h-Eileanan Siar,0
w/c 2020-06-08,East Renfrewshire,1
w/c 2020-06-08,Angus,3
w/c 2020-06-08,Moray,1
w/c 2020-06-08,North Ayrshire,1
w/c 2020-06-08,Orkney Islands,0
w/c 2020-06-08,Midlothian,0
w/c 2020-06-08,Scottish Borders,3
w/c 2020-06-08,Perth and Kinross,2
w/c 2020-06-15,West Lothian,2
w/c 2020-06-15,Renfrewshire,3
w/c 2020-06-15,East Dunbartonshire,0
w/c 2020-06-15,Fife,2
w/c 2020-06-15,Glasgow City,9
w/c 2020-06-15,West Dunbartonshire,0
w/c 2020-06-15,Angus,1
w/c 2020-06-15,North Lanarkshire,3
w/c 2020-06-15,Perth and Kinross,0
w/c 2020-06-15,Dundee City,1
w/c 2020-06-15,East Ayrshire,0
w/c 2020-06-15,Dumfries and Galloway,0
w/c 2020-06-15,East Lothian,0
w/c 2020-06-15,Clackmannanshire,2
w/c 2020-06-15,South Lanarkshire,5
