Date,HB,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200309,S08000030,3,4,0.958152681629818,0.0227272727272727,0,0,0,172,41.2005653100822
20200309,S08000031,3,6,0.507133680438164,0.00865800865800866,0,0,0,687,58.0668064101697
20200309,S08000032,0,3,0.453240670796193,0.0114503816793893,0,0,0,259,39.1297779120713
20200310,S08000015,1,4,1.08295429932857,0.0240963855421687,0,0,0,162,43.859649122807
20200310,S08000016,0,1,0.865725911176522,0.0135135135135135,0,0,0,73,63.1979915158861
20200310,S08000017,0,0,0,0,0,0,0,131,88.0021496708317
20200310,S08000019,3,8,2.6089225150013,0.0350877192982456,0,0,0,220,71.7453691625359
20200310,S08000020,1,8,1.365886972853,0.0432432432432432,0,0,0,177,30.2202492743725
20200310,S08000022,1,1,0.310848616723656,0.00854700854700855,0,0,0,116,36.058439539944
20200310,S08000024,2,12,1.32219749223209,0.0171673819742489,0,0,0,687,75.6958064302871
20200310,S08000025,0,0,0,0,0,0,0,11,49.3938033228559
20200310,S08000026,5,11,47.9930191972077,0.458333333333333,0,0,0,13,56.7190226876091
20200310,S08000028,0,0,0,0,0,0,0,8,29.940119760479
20200310,S08000029,0,3,0.803105340650515,0.0208333333333333,0,0,0,141,37.7459510105742
20200310,S08000030,0,4,0.958152681629818,0.0204081632653061,0,0,0,192,45.9913287182313
20200310,S08000031,5,11,0.9297450808033,0.0136307311028501,0,0,0,796,67.2797349381297
20200310,S08000032,1,4,0.604320894394924,0.0131578947368421,0,0,0,300,45.3240670796193
20200311,S08000015,0,4,1.08295429932857,0.0195121951219512,0,0,0,201,54.4184535412606
20200311,S08000016,1,2,1.73145182235304,0.0217391304347826,0,0,0,90,77.9153320058869
20200311,S08000017,0,0,0,0,0,0,0,148,99.422275963993
20200311,S08000019,0,8,2.6089225150013,0.0321285140562249,0,0,0,241,78.5937907644143
20200311,S08000020,1,9,1.53662284445962,0.0443349753694581,0,0,0,194,33.1227590916852
20200311,S08000022,1,2,0.621697233447311,0.0138888888888889,0,0,0,142,44.1405035747591
20200311,S08000024,7,19,2.09347936270081,0.0231990231990232,0,0,0,800,88.1464994821393
20200311,S08000025,0,0,0,0,0,0,0,11,49.3938033228559
20200311,S08000026,0,11,47.9930191972077,0.407407407407407,0,0,0,16,69.8080279232112
20200311,S08000028,0,0,0,0,0,0,0,9,33.6826347305389
20200311,S08000029,1,4,1.07080712086735,0.0251572327044025,0,0,0,155,41.49377593361
20200311,S08000030,0,4,0.958152681629818,0.0184331797235023,0,0,0,213,51.0216302967878
20200311,S08000031,11,22,1.8594901616066,0.0229885057471264,0,0,0,935,79.0283318682805
20200311,S08000032,5,9,1.35972201238858,0.025,0,0,0,351,53.0291584831546
20200312,S08000015,3,7,1.89517002382499,0.0289256198347107,0,0,0,235,63.6235650855534
20200312,S08000016,2,4,3.46290364470609,0.037037037037037,0,0,0,104,90.0354947623582
20200312,S08000017,0,0,0,0,0,0,0,169,113.529490796722
20200312,S08000019,0,8,2.6089225150013,0.0269360269360269,0,0,0,289,94.2473258544221
20200312,S08000020,5,14,2.39030220249274,0.0606060606060606,0,0,0,217,37.0496841386375
20200312,S08000022,0,2,0.621697233447311,0.0117647058823529,0,0,0,168,52.2225676095741
20200312,S08000024,5,24,2.64439498446418,0.0247167868177137,1,1,0.110183124352674,947,104.343418761982
20200312,S08000025,0,0,0,0,0,0,0,11,49.3938033228559
20200312,S08000026,2,13,56.7190226876091,0.382352941176471,0,0,0,21,91.6230366492147
20200312,S08000028,0,0,0,0,0,0,0,15,56.1377245508982
20200312,S08000029,4,8,2.14161424173471,0.0457142857142857,0,0,0,167,44.706197296212
20200312,S08000030,9,13,3.11399621529691,0.0505836575875486,0,0,0,244,58.4473135794189
