Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200303,S12000010,East Lothian,0,0,0,0,0,0,0,24,22.4110561210197
20200303,S12000011,East Renfrewshire,0,0,0,0,0,0,0,15,15.701873756935
20200303,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,0,2,7.48502994011976
20200303,S12000014,Falkirk,0,0,0,0,0,0,0,50,31.077133445211
20200303,S12000017,Highland,0,0,0,0,0,0,0,40,16.9613704787347
20200303,S12000018,Inverclyde,0,0,0,0,0,0,0,18,23.1362467866324
20200303,S12000019,Midlothian,0,0,0,0,0,0,0,33,35.6911096690461
20200303,S12000020,Moray,0,1,1.0436234606554,0.0666666666666667,0,0,0,14,14.6107284491755
20200303,S12000021,North Ayrshire,0,1,0.742170105388155,0.0357142857142857,0,0,0,27,20.0385928454802
20200303,S12000023,Orkney Islands,0,0,0,0,0,0,0,8,35.9227660529861
20200303,S12000026,Scottish Borders,0,0,0,0,0,0,0,35,30.3004068911783
20200303,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0
20200303,S12000028,South Ayrshire,0,0,0,0,0,0,0,15,13.3203090311695
20200303,S12000029,South Lanarkshire,0,0,0,0,0,0,0,73,22.774779271831
20200303,S12000030,Stirling,0,0,0,0,0,0,0,35,37.1510455365672
20200303,S12000033,Aberdeen City,0,0,0,0,0,0,0,56,24.4894389294617
20200303,S12000034,Aberdeenshire,1,1,0.382833735308755,0.0192307692307692,0,0,0,51,19.5245205007465
20200303,S12000035,Argyll & Bute,0,0,0,0,0,0,0,10,11.6455106556422
20200303,S12000036,City of Edinburgh,0,0,0,0,0,0,0,193,36.7668070028385
20200303,S12000038,Renfrewshire,0,0,0,0,0,0,0,38,21.2171970965941
20200303,S12000039,West Dunbartonshire,1,1,1.12447992803328,0.0476190476190476,0,0,0,20,22.4895985606657
20200303,S12000040,West Lothian,0,0,0,0,0,0,0,46,25.1228836701256
20200303,S12000041,Angus,0,1,0.860585197934596,0.0277777777777778,0,0,0,35,30.1204819277108
20200303,S12000042,Dundee City,0,0,0,0,0,0,0,32,21.4304848647201
20200303,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,25,23.0117820324006
20200303,S12000047,Fife,0,0,0,0,0,0,0,96,25.6993709008165
20200303,S12000048,Perth & Kinross,0,0,0,0,0,0,0,39,25.6663376110563
20200303,S12000049,Glasgow City,0,0,0,0,0,0,0,172,27.1670457417235
20200303,S12000050,North Lanarkshire,0,0,0,0,0,0,0,59,17.2832996455459
20200304,S12000005,Clackmannanshire,0,2,3.88048117966628,0.08,0,0,0,23,44.6255335661622
20200304,S12000006,Dumfries & Galloway,0,0,0,0,0,0,0,64,42.9934166330781
20200304,S12000008,East Ayrshire,0,0,0,0,0,0,0,22,18.0313089091058
20200304,S12000010,East Lothian,0,0,0,0,0,0,0,29,27.0800261462321
20200304,S12000011,East Renfrewshire,0,0,0,0,0,0,0,21,21.982623259709
20200304,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,0,3,11.2275449101796
20200304,S12000014,Falkirk,1,1,0.62154266890422,0.0158730158730159,0,0,0,62,38.5356454720617
20200304,S12000017,Highland,0,0,0,0,0,0,0,47,19.9296103125133
20200304,S12000018,Inverclyde,0,0,0,0,0,0,0,19,24.4215938303342
20200304,S12000019,Midlothian,0,0,0,0,0,0,0,35,37.8542072247458
20200304,S12000020,Moray,1,2,2.08724692131079,0.111111111111111,0,0,0,16,16.6979753704863
20200304,S12000021,North Ayrshire,0,1,0.742170105388155,0.0285714285714286,0,0,0,34,25.2337835831973
20200304,S12000023,Orkney Islands,0,0,0,0,0,0,0,8,35.9227660529861
20200304,S12000026,Scottish Borders,0,0,0,0,0,0,0,38,32.8975846247078
20200304,S12000027,Shetland Islands,0,0,0,0,0,0,0,1,4.3630017452007
20200304,S12000028,South Ayrshire,0,0,0,0,0,0,0,16,14.2083296332475
20200304,S12000029,South Lanarkshire,0,0,0,0,0,0,0,84,26.2065953264905
20200304,S12000030,Stirling,0,0,0,0,0,0,0,40,42.4583377560769
20200304,S12000033,Aberdeen City,1,1,0.437311409454673,0.0169491525423729,0,0,0,58,25.364061748371
20200304,S12000034,Aberdeenshire,0,1,0.382833735308755,0.0185185185185185,0,0,0,53,20.290187971364
20200304,S12000035,Argyll & Bute,0,0,0,0,0,0,0,11,12.8100617212065
20200304,S12000036,City of Edinburgh,1,1,0.190501590688282,0.00465116279069767,0,0,0,214,40.7673404072924
20200304,S12000038,Renfrewshire,0,0,0,0,0,0,0,47,26.2423227247348
20200304,S12000039,West Dunbartonshire,0,1,1.12447992803328,0.0333333333333333,0,0,0,29,32.6099179129653
20200304,S12000040,West Lothian,0,0,0,0,0,0,0,48,26.2151829601311
20200304,S12000041,Angus,0,1,0.860585197934596,0.0256410256410256,0,0,0,38,32.7022375215146
20200304,S12000042,Dundee City,0,0,0,0,0,0,0,35,23.4395928207876
20200304,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,30,27.6141384388807
20200304,S12000047,Fife,2,2,0.535403560433677,0.0202020202020202,0,0,0,97,25.9670726810333
20200304,S12000048,Perth & Kinross,0,0,0,0,0,0,0,43,28.2987824942415
20200304,S12000049,Glasgow City,0,0,0,0,0,0,0,218,34.432650998231
20200304,S12000050,North Lanarkshire,0,0,0,0,0,0,0,70,20.5056097489528
20200305,S12000005,Clackmannanshire,0,2,3.88048117966628,0.0689655172413793,0,0,0,27,52.3864959254948
20200305,S12000006,Dumfries & Galloway,0,0,0,0,0,0,0,70,47.0240494424291
20200305,S12000008,East Ayrshire,0,0,0,0,0,0,0,29,23.7685435620031
20200305,S12000010,East Lothian,0,0,0,0,0,0,0,32,29.8814081613596
20200305,S12000011,East Renfrewshire,0,0,0,0,0,0,0,29,30.3569559300743
20200305,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,0,3,11.2275449101796
20200305,S12000014,Falkirk,0,1,0.62154266890422,0.0144927536231884,0,0,0,68,42.264901485487
20200305,S12000017,Highland,0,0,0,0,0,0,0,53,22.4738158843235
20200305,S12000018,Inverclyde,0,0,0,0,0,0,0,22,28.2776349614396
20200305,S12000019,Midlothian,0,0,0,0,0,0,0,35,37.8542072247458
20200305,S12000020,Moray,0,2,2.08724692131079,0.111111111111111,0,0,0,16,16.6979753704863
20200305,S12000021,North Ayrshire,0,1,0.742170105388155,0.0256410256410256,0,0,0,38,28.2024640047499
20200305,S12000023,Orkney Islands,0,0,0,0,0,0,0,8,35.9227660529861
20200305,S12000026,Scottish Borders,0,0,0,0,0,0,0,39,33.7633105358843
20200305,S12000027,Shetland Islands,0,0,0,0,0,0,0,2,8.7260034904014
20200305,S12000028,South Ayrshire,0,0,0,0,0,0,0,21,18.6484326436373
20200305,S12000029,South Lanarkshire,0,0,0,0,0,0,0,96,29.9503946588463
20200305,S12000030,Stirling,0,0,0,0,0,0,0,43,45.6427130877826
20200305,S12000033,Aberdeen City,0,1,0.437311409454673,0.0166666666666667,0,0,0,59,25.8013731578257
20200305,S12000034,Aberdeenshire,0,1,0.382833735308755,0.0172413793103448,0,0,0,57,21.8215229125991
20200305,S12000035,Argyll & Bute,0,0,0,0,0,0,0,13,15.1391638523349
20200305,S12000036,City of Edinburgh,1,2,0.381003181376565,0.00862068965517241,0,0,0,230,43.8153658583049
20200305,S12000038,Renfrewshire,0,0,0,0,0,0,0,54,30.1507537688442
20200305,S12000039,West Dunbartonshire,0,1,1.12447992803328,0.0263157894736842,0,0,0,37,41.6057573372315
20200305,S12000040,West Lothian,0,0,0,0,0,0,0,52,28.399781540142
20200305,S12000041,Angus,0,1,0.860585197934596,0.0217391304347826,0,0,0,45,38.7263339070568
20200305,S12000042,Dundee City,0,0,0,0,0,0,0,36,24.1092954728101
20200305,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,35,32.2164948453608
20200305,S12000047,Fife,0,2,0.535403560433677,0.0185185185185185,0,0,0,106,28.3763887029849
20200305,S12000048,Perth & Kinross,0,0,0,0,0,0,0,48,31.5893385982231
20200305,S12000049,Glasgow City,0,0,0,0,0,0,0,261,41.2244124336619
20200305,S12000050,North Lanarkshire,1,1,0.292937282127896,0.0121951219512195,0,0,0,81,23.7279198523596
20200306,S12000005,Clackmannanshire,0,2,3.88048117966628,0.0645161290322581,0,0,0,29,56.266977105161
20200306,S12000006,Dumfries & Galloway,0,0,0,0,0,0,0,87,58.4441757355905
