date,areaname,count
2020-04-03,Ayrshire and Arran,240
2020-04-03,Western Isles,*
2020-04-03,Grampian,173
2020-04-03,Forth Valley,189
2020-04-03,Shetland,36
2020-04-03,Lanarkshire,377
2020-04-03,Dumfries and Galloway,122
2020-04-03,Orkney,*
2020-04-04,Shetland,40
2020-04-04,Western Isles,*
2020-04-04,Tayside,410
2020-04-04,Greater Glasgow and Clyde,851
2020-04-04,Lothian,476
2020-04-04,Orkney,*
2020-04-04,Dumfries and Galloway,127
2020-04-04,Highland,85
2020-04-04,Forth Valley,208
2020-04-04,Borders,110
2020-04-04,Ayrshire and Arran,254
2020-04-04,Lanarkshire,427
2020-04-04,Fife,173
2020-04-04,Grampian,177
2020-04-05,Grampian,194
2020-04-05,Highland,99
2020-04-05,Greater Glasgow and Clyde,931
2020-04-05,Forth Valley,226
2020-04-05,Lothian,534
2020-04-05,Fife,200
2020-04-05,Tayside,457
2020-04-05,Western Isles,*
2020-04-05,Ayrshire and Arran,267
2020-04-05,Borders,130
2020-04-05,Orkney,*
2020-04-05,Dumfries and Galloway,141
2020-04-05,Shetland,41
2020-04-05,Lanarkshire,478
2020-04-06,Tayside,499
2020-04-06,Ayrshire and Arran,288
2020-04-06,Shetland,41
2020-04-06,Greater Glasgow and Clyde,984
2020-04-06,Forth Valley,231
2020-04-06,Borders,139
2020-04-06,Fife,227
2020-04-06,Lothian,577
2020-04-06,Lanarkshire,512
2020-04-06,Western Isles,*
2020-04-06,Dumfries and Galloway,144
2020-04-06,Orkney,*
2020-04-06,Grampian,209
2020-04-06,Highland,102
2020-04-07,Dumfries and Galloway,152
2020-04-07,Lanarkshire,547
2020-04-07,Shetland,42
2020-04-07,Lothian,621
2020-04-07,Grampian,210
2020-04-07,Highland,112
2020-04-07,Western Isles,*
2020-04-07,Greater Glasgow and Clyde,1094
2020-04-07,Orkney,*
2020-04-07,Borders,149
2020-04-07,Ayrshire and Arran,296
2020-04-07,Fife,239
2020-04-07,Tayside,516
2020-04-07,Forth Valley,243
2020-04-08,Dumfries and Galloway,155
2020-04-08,Greater Glasgow and Clyde,1166
2020-04-08,Orkney,*
2020-04-08,Borders,160
2020-04-08,Fife,255
2020-04-08,Tayside,586
2020-04-08,Lanarkshire,575
2020-04-08,Highland,122
2020-04-08,Western Isles,*
2020-04-08,Forth Valley,259
2020-04-08,Ayrshire and Arran,312
2020-04-08,Shetland,43
2020-04-08,Grampian,223
2020-04-08,Lothian,700
2020-04-09,Borders,167
2020-04-09,Western Isles,*
2020-04-09,Ayrshire and Arran,362
2020-04-09,Shetland,43
2020-04-09,Tayside,667
2020-04-09,Grampian,236
2020-04-09,Orkney,*
2020-04-09,Greater Glasgow and Clyde,1251
2020-04-09,Lanarkshire,607
2020-04-09,Fife,288
2020-04-09,Lothian,747
2020-04-09,Dumfries and Galloway,163
2020-04-09,Forth Valley,280
2020-04-09,Highland,137
2020-04-10,Forth Valley,302
2020-04-10,Grampian,251
2020-04-10,Lothian,799
2020-04-10,Ayrshire and Arran,364
2020-04-10,Western Isles,*
2020-04-10,Tayside,712
2020-04-10,Highland,144
2020-04-10,Fife,333
2020-04-10,Lanarkshire,662
2020-04-10,Orkney,*
2020-04-10,Shetland,43
2020-04-10,Borders,177
2020-04-10,Dumfries and Galloway,164
2020-04-10,Greater Glasgow and Clyde,1314
2020-04-11,Orkney,5
2020-04-11,Greater Glasgow and Clyde,1387
2020-04-11,Forth Valley,324
2020-04-11,Fife,356
2020-04-11,Lanarkshire,707
2020-04-11,Highland,148
2020-04-11,Western Isles,6
2020-04-11,Borders,189
2020-04-11,Tayside,753
2020-04-11,Dumfries and Galloway,179
2020-04-11,Lothian,856
2020-04-11,Grampian,261
2020-04-11,Ayrshire and Arran,376
2020-04-11,Shetland,43
2020-04-12,Ayrshire and Arran,390
2020-04-12,Borders,199
2020-04-12,Western Isles,6
2020-04-12,Greater Glasgow and Clyde,1449
2020-04-12,Forth Valley,337
2020-04-12,Shetland,43
2020-04-12,Orkney,5
2020-04-12,Highland,151
2020-04-12,Dumfries and Galloway,186
2020-04-12,Fife,379
2020-04-12,Tayside,803
2020-04-12,Lanarkshire,758
