Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF
20200308,S08000016,NHS Borders,0,0,0,0,0,0,0,5,50,43.28629556,5,0,0,0,5,0,,:,,:
20200308,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,6,98,65.83366922,7,0,0,0,7,0,,:,,:
20200308,S08000019,NHS Forth Valley,0,3,0.978345943,0.652230629,0,0,0,12,180,58.70075659,28,4,14.285714299999999,6.951871699999999,28,0,,:,,:
20200308,S08000020,NHS Grampian,1,7,1.195151101,1.02441523,0,0,0,6,158,26.97626771,14,4,28.571428599999997,13.684210499999999,14,0,,:,,:
20200308,S08000022,NHS Highland,0,0,0,0,0,0,0,7,90,27.97637551,7,0,0,0,7,0,,:,,:
20200308,S08000024,NHS Lothian,2,7,0.77128187,0.77128187,0,0,0,23,443,48.81112409,31,2,6.451612900000001,3.9426522999999998,31,0,,:,,:
20200308,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,7,31.4324203,0,0,0,0,0,0,,:,,:
20200308,S08000026,NHS Shetland,0,2,8.72600349,8.72600349,0,0,0,1,5,21.81500873,1,0,0,25,1,0,,:,,:
20200308,S08000028,NHS Western Isles,0,0,0,0,0,0,0,1,4,14.97005988,1,0,0,0,1,0,,:,,:
20200308,S08000029,NHS Fife,0,2,0.53540356,0.53540356,0,0,0,2,118,31.58881007,7,0,0,5.3333333,7,0,,:,,:
20200308,S08000030,NHS Tayside,0,1,0.23953817,0,0,0,0,0,161,38.56564544,1,0,0,5.0314465,1,0,,:,,:
20200308,S08000031,NHS Greater Glasgow & Clyde,0,4,0.33808912,0.25356684,0,0,0,39,591,49.95266752,56,3,5.3571428999999995,2.0484171,56,0,,:,,:
20200308,S08000032,NHS Lanarkshire,0,3,0.453240671,0.453240671,0,0,0,10,234,35.35277232,24,4,16.6666667,4.3062201,24,0,,:,,:
20200308,S92000003,Scotland,3,31,0.56742262,0.494206798,0,0,0,121,2255,41.27541962,192,17,8.8541667,4.099723,192,0,12,"",,:
20200309,S08000015,NHS Ayrshire & Arran,1,3,0.812215724,0.54147715,0,0,0,22,138,37.36192333,24,1,4.1666666999999995,2.6548673,24,0,,:,,:
20200309,S08000016,NHS Borders,1,1,0.865725911,0.865725911,0,0,0,12,62,53.67500649,15,1,6.6666666999999995,3.030303,15,0,,:,,:
20200309,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,16,114,76.58202338,22,0,0,0,22,0,,:,,:
20200309,S08000019,NHS Forth Valley,0,3,0.978345943,0.652230629,0,0,0,15,195,63.5924863,24,3,12.5,8.4210526,24,0,,:,,:
20200309,S08000020,NHS Grampian,0,7,1.195151101,1.02441523,0,0,0,10,168,28.68362643,18,1,5.5555556,14.7368421,18,0,,:,,:
20200309,S08000022,NHS Highland,0,0,0,0,0,0,0,8,98,30.46316444,8,0,0,0,8,0,,:,,:
20200309,S08000024,NHS Lothian,3,10,1.101831244,1.101831244,0,0,0,106,549,60.49053527,136,8,5.8823529,5.2054795,136,0,,:,,:
20200309,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,8,35.92276605,1,0,0,0,1,0,,:,,:
20200309,S08000026,NHS Shetland,4,6,26.17801047,26.17801047,0,0,0,4,9,39.26701571,16,6,37.5,33.3333333,16,0,,:,,:
20200309,S08000028,NHS Western Isles,0,0,0,0,0,0,0,0,4,14.97005988,0,0,0,0,0,0,,:,,:
20200309,S08000029,NHS Fife,1,3,0.803105341,0.803105341,0,0,0,4,122,32.65961719,7,1,14.285714299999999,7.3529412,7,0,,:,,:
20200309,S08000030,NHS Tayside,3,4,0.958152682,0.718614511,0,0,0,10,171,40.96102714,22,6,27.2727273,6.7901235,22,0,,:,,:
20200309,S08000031,NHS Greater Glasgow & Clyde,3,7,0.591655961,0.50713368,0,0,0,82,673,56.88349449,119,9,7.563025199999999,3.4722221999999996,119,0,,:,,:
20200309,S08000032,NHS Lanarkshire,0,3,0.453240671,0.453240671,0,0,0,22,256,38.67653724,41,3,7.3170732,5.5299539,41,0,,:,,:
20200309,S92000003,Scotland,16,47,0.860285908,0.76876613,0,0,0,312,2567,46.98625373,453,39,8.6092715,5.466399200000001,453,0,19,"",,:
20200310,S08000015,NHS Ayrshire & Arran,1,4,1.082954299,0.812215724,0,0,0,21,159,43.0474334,25,1,4,3.3613445,25,0,,:,,:
20200310,S08000016,NHS Borders,0,1,0.865725911,0.865725911,0,0,0,10,72,62.3322656,12,0,0,2.3255814,12,0,,:,,:
20200310,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,14,128,85.98683327,17,0,0,0,17,0,,:,,:
20200310,S08000019,NHS Forth Valley,5,8,2.608922515,1.956691886,0,0,0,22,217,70.76702322,45,10,22.2222222,11.904761899999999,45,0,,:,,:
20200310,S08000020,NHS Grampian,1,8,1.365886973,1.02441523,0,0,0,7,175,29.87877753,32,9,28.125,19.6428571,32,0,,:,,:
20200310,S08000022,NHS Highland,1,1,0.310848617,0.310848617,0,0,0,17,115,35.74759092,20,1,5,1.4705882,20,0,,:,,:
20200310,S08000024,NHS Lothian,2,12,1.322197492,1.322197492,0,0,0,123,672,74.04305956,155,6,3.8709676999999996,5.2966102,155,0,,:,,:
20200310,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,9,40.41311181,1,0,0,0,1,0,,:,,:
20200310,S08000026,NHS Shetland,5,11,47.9930192,47.9930192,0,0,0,4,13,56.71902269,9,5,55.5555556,39.3939394,9,0,,:,,:
20200310,S08000028,NHS Western Isles,0,0,0,0,0,0,0,3,7,26.19760479,4,0,0,0,4,0,,:,,:
20200310,S08000029,NHS Fife,0,3,0.803105341,0.803105341,0,0,0,18,140,37.47824923,25,0,0,6.25,25,0,,:,,:
20200310,S08000030,NHS Tayside,0,4,0.958152682,0.718614511,0,0,0,18,189,45.27271421,35,2,5.7142857,6.875000000000001,35,0,,:,,:
20200310,S08000031,NHS Greater Glasgow & Clyde,5,12,1.014267361,0.845222801,0,0,0,102,775,65.50476706,147,8,5.4421769,3.9938556,147,0,,:,,:
20200310,S08000032,NHS Lanarkshire,1,4,0.604320894,0.604320894,0,0,0,38,294,44.41758574,61,5,8.1967213,6.995884800000001,61,0,,:,,:
20200310,S92000003,Scotland,21,68,1.244668973,1.098237329,0,0,0,398,2965,54.27122801,588,47,7.9931973,6.5387969,588,0,30,"",,:
20200311,S08000015,NHS Ayrshire & Arran,0,4,1.082954299,0.812215724,0,0,0,36,195,52.79402209,46,0,0,2,46,0,,:,,:
20200311,S08000016,NHS Borders,1,2,1.731451822,1.731451822,0,0,0,17,89,77.04960609,26,4,15.384615400000001,7.575757599999999,26,0,,:,,:
20200311,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,17,145,97.40695956,23,0,0,0,23,0,,:,,:
20200311,S08000019,NHS Forth Valley,0,8,2.608922515,1.630576572,0,0,0,20,237,77.28932951,35,1,2.8571429,10.3773585,35,0,,:,,:
20200311,S08000020,NHS Grampian,0,8,1.365886973,0.682943486,0,0,0,17,192,32.78128735,30,1,3.3333333,15.555555600000002,30,0,,:,,:
20200311,S08000022,NHS Highland,1,2,0.621697233,0.621697233,0,0,0,26,141,43.82965496,34,1,2.9411765,2.1276596,34,0,,:,,:
20200311,S08000024,NHS Lothian,7,19,2.093479363,1.983296238,0,0,0,110,782,86.16320324,194,18,9.2783505,6.635071100000001,194,0,,:,,:
20200311,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,9,40.41311181,0,0,0,0,0,0,,:,,:
20200311,S08000026,NHS Shetland,0,11,47.9930192,47.9930192,0,0,0,3,16,69.80802792,10,1,10,33.3333333,10,0,,:,,:
20200311,S08000028,NHS Western Isles,0,0,0,0,0,0,0,1,8,29.94011976,1,0,0,0,1,0,,:,,:
20200311,S08000029,NHS Fife,1,4,1.070807121,0.53540356,0,0,0,14,154,41.22607415,19,1,5.2631578999999995,4.1666666999999995,19,0,,:,,:
20200311,S08000030,NHS Tayside,0,4,0.958152682,0.718614511,0,0,0,21,210,50.30301579,45,2,4.4444444,7.1038251,45,0,,:,,:
20200311,S08000031,NHS Greater Glasgow & Clyde,11,23,1.944012442,1.774967882,0,0,0,131,906,76.57718575,215,22,10.2325581,6.2015504,215,0,,:,,:
20200311,S08000032,NHS Lanarkshire,5,9,1.359722012,1.359722012,0,0,0,45,339,51.2161958,63,7,11.1111111,8.5714286,63,0,,:,,:
20200311,S92000003,Scotland,26,94,1.720571816,1.464316439,0,0,0,458,3423,62.65443962,741,58,7.8272604999999995,7.1223022,741,0,27,"",1,""
20200312,S08000015,NHS Ayrshire & Arran,3,7,1.895170024,1.624431449,0,0,0,31,226,61.18691791,43,3,6.9767442,3.4090909000000003,43,0,,:,,:
20200312,S08000016,NHS Borders,2,4,3.462903645,3.462903645,0,0,0,13,102,88.30404294,21,2,9.523809499999999,8.139534900000001,21,0,,:,,:
