Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200305,S12000019,Midlothian,0,0,0,0,0,0,34,36.772658446896
20200305,S12000020,Moray,0,2,2.08724692131079,0,0,0,16,16.6979753704863
20200305,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,38,28.2024640047499
20200305,S12000023,Orkney Islands,0,0,0,0,0,0,5,22.4517287831163
20200305,S12000026,Scottish Borders,0,0,0,0,0,0,39,33.7633105358843
20200305,S12000027,Shetland Islands,0,0,0,0,0,0,2,8.7260034904014
20200305,S12000028,South Ayrshire,0,0,0,0,0,0,22,19.5364532457153
20200305,S12000029,South Lanarkshire,0,0,0,0,0,0,95,29.63841138115
20200305,S12000030,Stirling,0,0,0,0,0,0,43,45.6427130877826
20200305,S12000033,Aberdeen City,0,1,0.437311409454673,0,0,0,57,24.9267503389163
20200305,S12000034,Aberdeenshire,0,1,0.382833735308755,0,0,0,57,21.8215229125991
20200305,S12000035,Argyll & Bute,0,0,0,0,0,0,13,15.1391638523349
20200305,S12000036,City of Edinburgh,1,2,0.381003181376565,0,0,0,227,43.2438610862401
20200305,S12000038,Renfrewshire,0,0,0,0,0,0,54,30.1507537688442
20200305,S12000039,West Dunbartonshire,0,1,1.12447992803328,0,0,0,36,40.4812774091982
20200305,S12000040,West Lothian,0,0,0,0,0,0,53,28.9459311851447
20200305,S12000041,Angus,0,1,0.860585197934596,0,0,0,45,38.7263339070568
20200305,S12000042,Dundee City,0,0,0,0,0,0,36,24.1092954728101
20200305,S12000045,East Dunbartonshire,0,0,0,0,0,0,35,32.2164948453608
20200305,S12000047,Fife,0,2,0.535403560433677,0,0,0,105,28.108686922768
20200305,S12000048,Perth & Kinross,0,0,0,0,0,0,48,31.5893385982231
20200305,S12000049,Glasgow City,0,0,0,0,0,0,260,41.066464493303
20200305,S12000050,North Lanarkshire,1,1,0.292937282127896,0,0,0,83,24.3137944166154
20200306,S12000005,Clackmannanshire,0,2,3.88048117966628,0,0,0,29,56.266977105161
20200306,S12000006,Dumfries & Galloway,0,0,0,0,0,0,87,58.4441757355905
20200306,S12000008,East Ayrshire,0,0,0,0,0,0,33,27.0469633636587
20200306,S12000010,East Lothian,0,0,0,0,0,0,38,35.4841721916145
20200306,S12000011,East Renfrewshire,1,1,1.04679158379567,0,0,0,38,39.7780801842353
20200306,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,4,14.9700598802395
20200306,S12000014,Falkirk,0,1,0.62154266890422,0,0,0,80,49.7234135123376
20200306,S12000017,Highland,0,0,0,0,0,0,57,24.1699529321969
20200306,S12000018,Inverclyde,0,0,0,0,0,0,26,33.4190231362468
20200306,S12000019,Midlothian,1,1,1.08154877784988,0,0,0,35,37.8542072247458
20200306,S12000020,Moray,0,2,2.08724692131079,0,0,0,19,19.8288457524525
20200306,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,44,32.6554846370788
20200306,S12000023,Orkney Islands,0,0,0,0,0,0,7,31.4324202963628
20200306,S12000026,Scottish Borders,0,0,0,0,0,0,44,38.0919400917669
20200306,S12000027,Shetland Islands,2,2,8.7260034904014,0,0,0,2,8.7260034904014
20200306,S12000028,South Ayrshire,0,0,0,0,0,0,22,19.5364532457153
20200306,S12000029,South Lanarkshire,1,1,0.311983277696316,0,0,0,108,33.6941939912021
20200306,S12000030,Stirling,0,0,0,0,0,0,46,48.8270884194884
20200306,S12000033,Aberdeen City,0,1,0.437311409454673,0,0,0,58,25.364061748371
20200306,S12000034,Aberdeenshire,0,1,0.382833735308755,0,0,0,58,22.2043566479078
20200306,S12000035,Argyll & Bute,0,0,0,0,0,0,18,20.9619191801561
20200306,S12000036,City of Edinburgh,1,3,0.571504772064847,0,0,0,246,46.8633913093174
20200306,S12000038,Renfrewshire,0,0,0,0,0,0,68,37.9676158570631
20200306,S12000039,West Dunbartonshire,0,1,1.12447992803328,0,0,0,44,49.4771168334645
20200306,S12000040,West Lothian,0,0,0,0,0,0,59,32.2228290551611
20200306,S12000041,Angus,0,1,0.860585197934596,0,0,0,48,41.3080895008606
20200306,S12000042,Dundee City,0,0,0,0,0,0,40,26.7881060809001
20200306,S12000045,East Dunbartonshire,0,0,0,0,0,0,40,36.8188512518409
20200306,S12000047,Fife,0,2,0.535403560433677,0,0,0,112,29.9825993842859
20200306,S12000048,Perth & Kinross,0,0,0,0,0,0,57,37.5123395853899
20200306,S12000049,Glasgow City,0,0,0,0,0,0,296,46.7525903462219
